org,company,og_id
Consolidated St Gothard Gold Mining Company,NA,16225
Assistant Surveyor South Randfontein Mine,NA,16226
West Rand Mines Ltd,NA,16227
Manager Good Shepherd Mine,NA,16228
Manager Radnor Mine,NA,16229
South Assistant Ge Company,NA,16230
Crouse Hinds Company,NA,16231
"Gladstone Mine, French Gulch.","Gladstone Mine, French Gulch.",16232
Surveyor United Fruit Company,NA,16233
Earle Court Anthony Inc,NA,16234
Manager Rapinwax Paper Company,NA,16235
Gould Coupler Co.,Gould Coupler Co.,16236
North Itc Hburn Company,North Itc Hburn Company,16237
Llanarmo District Mining Limited,Llanarmo District Mining Limited,16238
Achilles Goldfields Limited,Achilles Goldfields Limited,16239
Kisina Syndicate Limited,Kisina Syndicate Limited,16240
Casey Cobalt Mining Co.,Casey Cobalt Mining Co.,16241
Kafue Cdpperr Vel Limited,Kafue Cdpperr Vel Limited,16242
El Cubo Venture Company,El Cubo Venture Company,16243
Nacoochee Placer Gold Mines,Nacoochee Placer Gold Mines,16244
Engineering Pittsburgh Rys Company,NA,16245
Shuniah Weachu Mine Company,Shuniah Weachu Mine Company,16246
Bureau Of Education Rochester,NA,16247
Estate Finance Anbn Llnes Corpn,Estate Finance Anbn Llnes Corpn,16248
Walker River Copper Co.,Walker River Copper Co.,16249
Continental Steel Corp,NA,16250
Chilton Paint Co,NA,16251
Chicago Utah Copper Co Morgan Morgan Co,NA,16252
Russper Syndicate Limited,Russper Syndicate Limited,16253
Concessions Syndicate Limited Concordia Tim Min,NA,16254
S A Prospecting Concessions Syndicate Limited,NA,16255
P Calibron Products Inc,NA,16256
Coalite Zli Yntedt,Coalite Zli Yntedt,16257
Harvard College Observatory,NA,16258
Morrow Mining Co.,Morrow Mining Co.,16259
Washington University,NA,16260
P Bond Manufacturing Corp,NA,16261
Transito Company,Transito Company,16262
Rio Plata Mining Co.,Rio Plata Mining Co.,16263
Asbestos Mines Limited East Broughton Fgp,NA,16264
Garswood Hall Collieries Company,Garswood Hall Collieries Company,16265
Taiping Hydraulic Tin Properties Limited,Taiping Hydraulic Tin Properties Limited,16266
The Mathematical Section,NA,16267
The South,NA,16268
Various Papers In,NA,16269
Combination Zones,NA,16270
S G Starling,NA,16271
Boston Administration,NA,16272
Lawler Mines Limited.,Lawler Mines Limited.,16273
Black Diamond Coal And Cannel,Black Diamond Coal And Cannel,16274
Forks Of Salmon River Mining Co.,Forks Of Salmon River Mining Co.,16275
Bruce Land And Mining Company,Bruce Land And Mining Company,16276
Uikiko Masval Tetuan Gold Mines,Uikiko Masval Tetuan Gold Mines,16277
Musgrove Mining Co.,Musgrove Mining Co.,16278
Coosheen Copper Mining Company,Coosheen Copper Mining Company,16279
Rossman Company,NA,16280
Malleable Steel 0. Iron Co.,Malleable Steel 0. Iron Co.,16281
New Chaffers Extended Mining Company,New Chaffers Extended Mining Company,16282
Cambrian Lead Zinc Mines Limited,Cambrian Lead Zinc Mines Limited,16283
Mohave Gold Silver Co,Mohave Gold Silver Co,16284
National Lock Washer Co.,National Lock Washer Co.,16285
Golden Dove Mining Company,Golden Dove Mining Company,16286
Ratrut Basin Tin Dredging Co.,Ratrut Basin Tin Dredging Co.,16287
Cia. Minera De Plomozinc S. A.,Cia. Minera De Plomozinc S. A.,16288
Nigeria Felateau Limited,Nigeria Felateau Limited,16289
Nigme Ian Plaiequl Limited,Nigme Ian Plaiequl Limited,16290
Gold Coast Amalgamated Mines Limited,Gold Coast Amalgamated Mines Limited,16291
Minnesota Steel Co.,Minnesota Steel Co.,16292
Caffiliation Of Hudson Reduction Co,Caffiliation Of Hudson Reduction Co,16293
Wheal Camborne Limited,Wheal Camborne Limited,16294
Camborne Consols Limited,Camborne Consols Limited,16295
South Alaska Syndicate Limited,South Alaska Syndicate Limited,16296
Climax Silver-Lead Mining Co.,Climax Silver-Lead Mining Co.,16297
Panham Syndicate Limited,Panham Syndicate Limited,16298
"Edwards &. Wright, Limited, Cobalt. Mgp","Edwards &. Wright, Limited, Cobalt. Mgp",16299
New Theta Syndicate Limited,New Theta Syndicate Limited,16300
Lace Propietary Mines,Lace Propietary Mines,16301
Cassel Colliery Company,NA,16302
Sltr Elec Lace Proprietary Mines Limited,NA,16303
Gilpin Hurricane Gold M. Co,Gilpin Hurricane Gold M. Co,16304
Richardson Gold Mining Co.,Richardson Gold Mining Co.,16305
"Pauline Mine, Good Springs. Lc","Pauline Mine, Good Springs. Lc",16306
Wellman Company,NA,16307
"Ralston Mine, Weaverville.","Ralston Mine, Weaverville.",16308
Franklin Mining Company,Franklin Mining Company,16309
Tecumseh Copper Company,Tecumseh Copper Company,16310
North Lake Mining Co Greenland Ontonagon Co,NA,16311
Indiana Mining Co Rockland Ontonagon Co,NA,16312
Musgrove Mining Co Leesburg Lemhi Co,NA,16313
Franklin Mining Co.,Franklin Mining Co.,16314
North Lake Mining Co.,North Lake Mining Co.,16315
South Lake Mining Co.,South Lake Mining Co.,16316
Kittie Burton Gold Mines Co.,Kittie Burton Gold Mines Co.,16317
Isle Royal Copper Company,NA,16318
City Rocks Mining Company,City Rocks Mining Company,16319
Kittie Burton Gold Mines Co,Kittie Burton Gold Mines Co,16320
Mohegan And Gold Flat Mines,Mohegan And Gold Flat Mines,16321
"Cam Brian Lead & Zinc Mines, Ltd.","Cam Brian Lead & Zinc Mines, Ltd.",16322
India Appointed,NA,16323
Science Schools For,NA,16324
Westminster School,NA,16325
Franklin Zinc Company,NA,16326
Eagle Mining Co Limited Edwardsburg Idaho Co,NA,16327
Wayne Development Co Quijotoa Weldon Pima Co,NA,16328
Eagle Mining Co.,Eagle Mining Co.,16329
Canada Cement Co.,Canada Cement Co.,16330
Toston Copper Company,Toston Copper Company,16331
Zapopan Mines Limited,Zapopan Mines Limited,16332
Pelaez Silver Mines Limited,Pelaez Silver Mines Limited,16333
Hanna Co,NA,16334
Argentine And General Exploration Limited,Argentine And General Exploration Limited,16335
Iolden Link Gold Mining Company,Iolden Link Gold Mining Company,16336
Wheal Aqajb Mining Wheal Bassett,Wheal Aqajb Mining Wheal Bassett,16337
Knights Island-Alaska Copper Co.,Knights Island-Alaska Copper Co.,16338
Clearing House Mine El Portal Mariposa Co,NA,16339
Fanny Fern Mining Co Lake City Hinsdale Co,NA,16340
Middle Mountain Mining Co,Middle Mountain Mining Co,16341
Megeath Coal Co Megeath Sweetwater Co,NA,16342
Original Mining &. Milling Co.,Original Mining &. Milling Co.,16343
"Mad Mule Mine, Stella, Shasta Co.","Mad Mule Mine, Stella, Shasta Co.",16344
Iron Ore Prospecting Syndicate Limited,Iron Ore Prospecting Syndicate Limited,16345
Twyfelhoek Diamond Mine And Estate,Twyfelhoek Diamond Mine And Estate,16346
Los Reyes Mining Co.,Los Reyes Mining Co.,16347
Nenzel Crown Point Mining Co.,Nenzel Crown Point Mining Co.,16348
Reise,NA,16349
Bub Ruby Mines,Bub Ruby Mines,16350
Makwai Trattsvaal Tin Limited,Makwai Trattsvaal Tin Limited,16351
Peoples Gas Bldg Chicago I Ll Sales Ingersoll Rand Co,NA,16352
Silver Moon Mining Co.,Silver Moon Mining Co.,16353
Alcides Mining Co,Alcides Mining Co,16354
Channel Mining Co Folsom Sacramento Co,NA,16355
Victor Landq. Mineral Co.,Victor Landq. Mineral Co.,16356
Victor Landgmineral Co.,Victor Landgmineral Co.,16357
Midas Deep Limited,Midas Deep Limited,16358
Gwanda Mines Limited,Gwanda Mines Limited,16359
Gwelo Rhodesia Gold Mining Limited,Gwelo Rhodesia Gold Mining Limited,16360
Progress Mines New Zealand Limited,Progress Mines New Zealand Limited,16361
Siberian Mining And Estates Company,Siberian Mining And Estates Company,16362
East Rknb Deep Limited,East Rknb Deep Limited,16363
Randt Consolidated Deep Levels Prospecting,Randt Consolidated Deep Levels Prospecting,16364
Midway Mining B.. Milling Co,Midway Mining B.. Milling Co,16365
York Mining Co.,York Mining Co.,16366
Compa̱ia Del Boleo,Compa̱ia Del Boleo,16367
Rheinbach Copper Mines Limited,Rheinbach Copper Mines Limited,16368
Castie Mining Co,NA,16369
Bayway Hydro,NA,16370
Whitehaven Hematite Iron And Steel Company,NA,16371
Peiser Diamond Mining And Estate,Peiser Diamond Mining And Estate,16372
Carr Mines Co.,Carr Mines Co.,16373
Sdence,NA,16374
Cornell Univer,NA,16375
Chemical Laboratory At,NA,16376
New York Appointed,NA,16377
American Bauxite Co.,American Bauxite Co.,16378
Bissenberger Gold Mining Company,Bissenberger Gold Mining Company,16379
Exec National Products Company,NA,16380
St. Louis Frog A. Switch Co.,St. Louis Frog A. Switch Co.,16381
El Rey Mining Co.,El Rey Mining Co.,16382
Octave Mining Company,Octave Mining Company,16383
Morgan Harjes Company,NA,16384
Queen Of The West Mines Co,Queen Of The West Mines Co,16385
Electric Light And Power Plant Lonsdale Co,NA,16386
Oroville,NA,16387
The International Exhibitions,NA,16388
British Broken Hill Proprietary Limited,NA,16389
Manager Meloripe Fruit Company,NA,16390
Hurley N Mex Chino Copper Co,NA,16391
Mcconnell Mines Co.,Mcconnell Mines Co.,16392
Nevada United Mines Leasing Co,Nevada United Mines Leasing Co,16393
Slide And Spur Gold Mines,Slide And Spur Gold Mines,16394
Rosebud Gold & Silver Mines Co,Rosebud Gold & Silver Mines Co,16395
Santa Cruz Mining Co.,Santa Cruz Mining Co.,16396
Excelsior Gold Mines Co.,Excelsior Gold Mines Co.,16397
Texas Flat Mines Development Co.,Texas Flat Mines Development Co.,16398
West Australian Mining Company,West Australian Mining Company,16399
Imperial Gold Mining & Milling Company,Imperial Gold Mining & Milling Company,16400
Imperial Gold Mining & M. Co,Imperial Gold Mining & M. Co,16401
Ofer Gold Mining Co.,Ofer Gold Mining Co.,16402
Titanic Mining Co.,Titanic Mining Co.,16403
Men. Titanic Gold Mining Co,Men. Titanic Gold Mining Co,16404
Machine Parts Corp,NA,16405
Cobra Banket Company,Cobra Banket Company,16406
Portland Mining Co,NA,16407
Anglo Belgian Boring Syndicate Limited,Anglo Belgian Boring Syndicate Limited,16408
Nigerian Plateau Limited,Nigerian Plateau Limited,16409
Kuskie Nigerialjiin Velds Limited,NA,16410
Sociedad Anonima Minera De Penaflor.,Sociedad Anonima Minera De Penaflor.,16411
Dwarfsfontein Gold Mining Company,Dwarfsfontein Gold Mining Company,16412
Aureola Mines Co.,Aureola Mines Co.,16413
Hornsilver King Mining Co.,Hornsilver King Mining Co.,16414
"Berenguelatin Mines, Ltd.","Berenguelatin Mines, Ltd.",16415
Gunn Mining Co Gibsonville Sierra Co,NA,16416
Ziervogel Gold Mining Company,Ziervogel Gold Mining Company,16417
Orion Diamond Mining Company,Orion Diamond Mining Company,16418
American Home Rails,American Home Rails,16419
Eastern Freeholds Gladstone Limited,Eastern Freeholds Gladstone Limited,16420
Randfonielnm Deep Limited,Randfonielnm Deep Limited,16421
Alfarena Mine Limited,Alfarena Mine Limited,16422
Negociacion Minera De Guanacevi,Negociacion Minera De Guanacevi,16423
Transvake Coal Trust Company,Transvake Coal Trust Company,16424
Tarkwa And Kumassi Syndicate Limited,Tarkwa And Kumassi Syndicate Limited,16425
Alderbank Colliery Company,Alderbank Colliery Company,16426
Singer Manufacturing Company,NA,16427
Alderley Mining Company,Alderley Mining Company,16428
Ashland Mines,NA,16429
San Antonio Copper Co,San Antonio Copper Co,16430
Pittsburgh-Idaho Company,Pittsburgh-Idaho Company,16431
Jack Waite Extension Co,Jack Waite Extension Co,16432
The Austin Company,NA,16433
Continental Mfg Company,NA,16434
Utah Pac Ry,NA,16435
Ivanhoe Mining Company,Ivanhoe Mining Company,16436
Seven Troughs Mining Co Mazuma Humboldt Co,NA,16437
Hardie Cinnabar Mines Limited,Hardie Cinnabar Mines Limited,16438
Harboro Hills Colliery Company,Harboro Hills Colliery Company,16439
Ellicott Machine Corp,NA,16440
P Ellicott Machine Corp,NA,16441
Slate Creek Gravel Gold Company,Slate Creek Gravel Gold Company,16442
Boss Tweed And Clipper Mines,Boss Tweed And Clipper Mines,16443
Warman Steel Casting Co,Warman Steel Casting Co,16444
Crystal Plate Glass Company,NA,16445
The Batopilas Mining Co.,The Batopilas Mining Co.,16446
Cons Gas Company,NA,16447
Calder Coal Limited,Calder Coal Limited,16448
Winder Gill Mining Company,Winder Gill Mining Company,16449
Manager Ala Power Company,NA,16450
Kennedy Stationery Company,NA,16451
Golden Rhodesja Limited,Golden Rhodesja Limited,16452
Wales Exploration Syndicate Limited,Wales Exploration Syndicate Limited,16453
Tasso Mining & Smelting Co,Tasso Mining & Smelting Co,16454
Hartford Mining Co.,Hartford Mining Co.,16455
Sunshine Mining &. Developm Ent Co,Sunshine Mining &. Developm Ent Co,16456
Gordon Coal Co.,Gordon Coal Co.,16457
Hubbard Elliott Copper Co.,Hubbard Elliott Copper Co.,16458
London Gold Ooas Syndicate Limited,London Gold Ooas Syndicate Limited,16459
Progreso Silver Co.,Progreso Silver Co.,16460
Elliott Mining Company,Elliott Mining Company,16461
The Same Company,NA,16462
The Gypsy Oil Co,NA,16463
D Motor Co,NA,16464
Turner Co,NA,16465
Specialty Co,NA,16466
Kohinoob And Donaldson Consolidated,Kohinoob And Donaldson Consolidated,16467
Interstate Iron Co.,Interstate Iron Co.,16468
Valdor Dredging Co.,Valdor Dredging Co.,16469
United Comstock Mines Co.,United Comstock Mines Co.,16470
Northern Development Company,Northern Development Company,16471
Pan American Airways Inc,NA,16472
El Paso,NA,16473
Slick Brothers Mining Co Ouray Ouray Co,NA,16474
Wessel Copper Mining & Milling Co,Wessel Copper Mining & Milling Co,16475
Flat River Mo Assistant Federal Lead Co,NA,16476
Three Kings Silver Mining Co.,Three Kings Silver Mining Co.,16477
Tip Top Consolidated Mining Co.,Tip Top Consolidated Mining Co.,16478
Wymazona Mining &. Milling Co.,Wymazona Mining &. Milling Co.,16479
West Mallina Gold Mine Limited,West Mallina Gold Mine Limited,16480
Oregon Consolidated Gold Mining Company,Oregon Consolidated Gold Mining Company,16481
Messrs Thwaites Bros Ltd,NA,16482
Damascus Mining & Milling Company,Damascus Mining & Milling Company,16483
Quality Ge Inc,NA,16484
Warren Telechron Company,NA,16485
Hart Parr Company,Hart Parr Company,16486
Supervisor Hygrade Sylvania Corp,NA,16487
Draftsman Underwood Machine Company,NA,16488
Pittshurgh Consolidated Mining Milling Tunnel Company,NA,16489
Bosotocnh& Arkansas Mining Co,Bosotocnh& Arkansas Mining Co,16490
Boston A Arkansas Mining Co.,Boston A Arkansas Mining Co.,16491
Hucknall Colliery Company,Hucknall Colliery Company,16492
West End Chemical Co.,West End Chemical Co.,16493
Research Magnaflux Corp,NA,16494
Department Of Ge Company,NA,16495
Goblin Tinfields Limited,Goblin Tinfields Limited,16496
Delco Products Corp,NA,16497
Vulcan Landand Water Co,NA,16498
Tilberthwaite Green Slate Company,Tilberthwaite Green Slate Company,16499
The Straits Settlements Tin Concessions Limited,NA,16500
Detroit-Alaska Gold Mining Company,Detroit-Alaska Gold Mining Company,16501
Yellow Jacket Gold Mining Company,Yellow Jacket Gold Mining Company,16502
Ellis Coal Co.,Ellis Coal Co.,16503
Northport Smelting & Refining Co.,Northport Smelting & Refining Co.,16504
Gierlich Bros,NA,16505
Veldt Exploration Syndicate Limited,Veldt Exploration Syndicate Limited,16506
County Surveyorof Humboldt County,NA,16507
Care Union Iron Works,NA,16508
Vice P And Secretary Ellsworth Klanor Coal Co,NA,16509
Judge Mining A. Smelting Co.,Judge Mining A. Smelting Co.,16510
Judge Mining A Smelting Co.,Judge Mining A Smelting Co.,16511
Rich Charter Oak Copper Co.,Rich Charter Oak Copper Co.,16512
Portland Canal Mining Co.,Portland Canal Mining Co.,16513
Case School Of Applied Science,NA,16514
Lewis River Dredging & Mining Company,Lewis River Dredging & Mining Company,16515
Erie Leasing Co Tuolumne Tuolumne Co,NA,16516
M Guffy Company,NA,16517
"Gibson Mine, Ainsworth. Mgp","Gibson Mine, Ainsworth. Mgp",16518
Ore Concentration Company,Ore Concentration Company,16519
Canadian Northern Exploration Limited,Canadian Northern Exploration Limited,16520
Golden Ate Oration Limited,Golden Ate Oration Limited,16521
Elmslie Limited Queensland,Elmslie Limited Queensland,16522
Juarez Mines Co.,Juarez Mines Co.,16523
Central Mining Syndicate Limited Cerrillos,Central Mining Syndicate Limited Cerrillos,16524
Western Metals Co,Western Metals Co,16525
Reed Exploration Syndicate Limited,Reed Exploration Syndicate Limited,16526
General And Tmercial Corporation Limited,General And Tmercial Corporation Limited,16527
Mines Lands And Finance Corporation,Mines Lands And Finance Corporation,16528
Inter Californian Trust Limited Dii,Inter Californian Trust Limited Dii,16529
Anto River Trust Limited,Anto River Trust Limited,16530
East Cornwall Mining And Melting Limited,NA,16531
Merlyn Development And Mercantile Company,Merlyn Development And Mercantile Company,16532
Peruvian Development Syndicate Limited,Peruvian Development Syndicate Limited,16533
Pel Tjvtal Evelopme Syndicate Limited,Pel Tjvtal Evelopme Syndicate Limited,16534
Anglo Mexican Exploration Syndicate,Anglo Mexican Exploration Syndicate,16535
Kaffirs Consolidated Investment And Land,Kaffirs Consolidated Investment And Land,16536
Main Mother Lode Syndicate Limited,Main Mother Lode Syndicate Limited,16537
South Wales Smelting Company,South Wales Smelting Company,16538
Csubsidiary Oi. New Jersey Zinc Co,Csubsidiary Oi. New Jersey Zinc Co,16539
Greene Cananea Copper Co.,Greene Cananea Copper Co.,16540
Controlled By Anaconda Copper Mining Co,Controlled By Anaconda Copper Mining Co,16541
Boras Leasing Co.,Boras Leasing Co.,16542
Sunset Copper Co.,Sunset Copper Co.,16543
Landwehr,NA,16544
"Oro Cache Mines, Salmon, Lemhi Co.","Oro Cache Mines, Salmon, Lemhi Co.",16545
Lockwood Greene Engrs Inc,NA,16546
Grass Creek Fuel Co Grass Creek Summit Co,NA,16547
Boston High School,NA,16548
Rutland Mining Co,NA,16549
American Sheet Steel Co,NA,16550
Electrical Hluminating Company,NA,16551
Edith Mining Co.,Edith Mining Co.,16552
Napwaunan Hill Mine Aroroy Masbate Lg,NA,16553
"Hebburn, Limited, Weston. Dh","Hebburn, Limited, Weston. Dh",16554
South Kalgurl Consolidated Limited Kalgoorlie Ch,NA,16555
Emeis Mfg Co,NA,16556
Portland G Mining Company,NA,16557
Whar Ffe Ilkstone Colliery Limited,Whar Ffe Ilkstone Colliery Limited,16558
Treasurer Emerson Apparatus Company,NA,16559
Cuba Copper Co.,Cuba Copper Co.,16560
Boston & Corbin Copper & Silver Mining Co,Boston & Corbin Copper & Silver Mining Co,16561
Penn Corbin Copper Co Corbin Jefferson Co,NA,16562
Doten Dunton Desk Company,NA,16563
New Ventanas Mining & Exploration Co,New Ventanas Mining & Exploration Co,16564
Court Of Land Registration Territory Of Hawaii,NA,16565
North Fork Power & Mines Co.,North Fork Power & Mines Co.,16566
Cynthianna Ind Schools,NA,16567
I Emerson Shoe Company,NA,16568
Bralch Cymmer Collieries Limited,Bralch Cymmer Collieries Limited,16569
The Emerson Corp,NA,16570
"Union Mine, Mokelumne Hill. Lc","Union Mine, Mokelumne Hill. Lc",16571
York Ferro Alloys Co.,York Ferro Alloys Co.,16572
American Smeltere Securiti Ps Co,NA,16573
Mexican Mines Syndicate Limited Cusihuriachic,NA,16574
Messina Ctransvaal Development Co Limited,NA,16575
Messina Transvaal Development Co.,Messina Transvaal Development Co.,16576
Roosevelt Mining & Milling Company,Roosevelt Mining & Milling Company,16577
British Broken Hill Proprietary Co.,British Broken Hill Proprietary Co.,16578
Emery Gold Mining & Water Company,Emery Gold Mining & Water Company,16579
Consolidated Gold Mines Co Berlin King Co,NA,16580
La Cobriza Mining Company,La Cobriza Mining Company,16581
Cobriza Mining Co.,Cobriza Mining Co.,16582
Alaska Free Gold Mining Co.,Alaska Free Gold Mining Co.,16583
Iwestralian Mines Developmental Syndicate,NA,16584
Westralian Mines Development Syndicate Limited,Westralian Mines Development Syndicate Limited,16585
Diamond Proprietary Mines Limited Gong Gong Lg,NA,16586
Eywbo Ooo Diamond Prop Rietary,Eywbo Ooo Diamond Prop Rietary,16587
Emery Steel Castings Co.,Emery Steel Castings Co.,16588
Birmingham Railway Light And Power Co,NA,16589
Demerara Bauxite Co.,Demerara Bauxite Co.,16590
W J Barney Corp,NA,16591
George R Carter Company,NA,16592
Stanislaus Mining Company,Stanislaus Mining Company,16593
New Reduction Works,NA,16594
Utah Consolidated Mining Co,Utah Consolidated Mining Co,16595
Csub. Gold Fields Am. Dev. Co. Ltd,Csub. Gold Fields Am. Dev. Co. Ltd,16596
Societ̩ Des Mines De La Belliere.,Societ̩ Des Mines De La Belliere.,16597
True Fissure Mines Co.,True Fissure Mines Co.,16598
Newton W Emmens,NA,16599
Phelps Doddery Corporation,NA,16600
Prince Wales Slate Company,Prince Wales Slate Company,16601
Atlin Lake And Omlnelca Syndicate,Atlin Lake And Omlnelca Syndicate,16602
Taviche Mining & Milling Company,Taviche Mining & Milling Company,16603
Poder De Dios Mining Company,Poder De Dios Mining Company,16604
Tennessee Copper Co Copper Hill Polk Co,NA,16605
Old Dominion Copper Mining Smelting Co,NA,16606
Butterknowle Marsfield Collieries Limited,NA,16607
Postal Life Insurance Company,NA,16608
Lym Tin Syndicate Limited,Lym Tin Syndicate Limited,16609
International Ore Smeltering Company,NA,16610
Temple Coal Co,NA,16611
Metallurgist Republic Steel Corp,NA,16612
Shea Copper Co.,Shea Copper Co.,16613
Amaranteitln Mines Limited,Amaranteitln Mines Limited,16614
Contra Costa Co,NA,16615
Engels Copper Mining Co,Engels Copper Mining Co,16616
Engels Copper Mining Co.,Engels Copper Mining Co.,16617
Gemini M Co,NA,16618
Vindicator Consolidated Mining Company,NA,16619
Keweenaw Copper Co.,Keweenaw Copper Co.,16620
Manager Federated Mills Inc,NA,16621
Catalina Gold Mines Limited,Catalina Gold Mines Limited,16622
Care Burma Mines,NA,16623
Surinam Bauxite Co.,Surinam Bauxite Co.,16624
"Rising Hope Mine, Placerville. Lgp","Rising Hope Mine, Placerville. Lgp",16625
Mikado Gold Mining Company,Mikado Gold Mining Company,16626
Burma Ruby Mines Limit,Burma Ruby Mines Limit,16627
Bixley Gold Mining Company,Bixley Gold Mining Company,16628
English Consolidated Mines Co.,English Consolidated Mines Co.,16629
Spanish Ridge Mining Company,Spanish Ridge Mining Company,16630
Syracuse & California Mining Company,Syracuse & California Mining Company,16631
Black Bear Gold Mining Co,Black Bear Gold Mining Co,16632
Spanish Ridge Mining Co Washington Nevada Co,NA,16633
Miami Mother Lode Mining Co.,Miami Mother Lode Mining Co.,16634
Shell Development Company,NA,16635
"Veta Grande Mines, Parral.","Veta Grande Mines, Parral.",16636
Chihuahua Plant,Chihuahua Plant,16637
Hanly Blackburn Coffee Company,NA,16638
Stevens Copper Mining Co.,Stevens Copper Mining Co.,16639
International Mining & Smelting Co.,International Mining & Smelting Co.,16640
El Oro Mining &. Railway Co.,El Oro Mining &. Railway Co.,16641
London Australian General Exploration Company,NA,16642
Bonanza Belt Copper Company,Bonanza Belt Copper Company,16643
Lump Gulch Silver Mines Co.,Lump Gulch Silver Mines Co.,16644
Amalgamated Silver Mines Co.,Amalgamated Silver Mines Co.,16645
"Cia. Minera Del Mirasol, S.a.","Cia. Minera Del Mirasol, S.a.",16646
Mex Care Cusi Mexicana Mining Co,NA,16647
Capital City Iron It Steel Co.,Capital City Iron It Steel Co.,16648
Friday Copper Mines Co.,Friday Copper Mines Co.,16649
Los Membrillos S. A.,Los Membrillos S. A.,16650
Grand National Main Reef Gold,Grand National Main Reef Gold,16651
Waitahu New Zealand Collier Limited,NA,16652
Waitahu Zealand Collieryl Limited,Waitahu Zealand Collieryl Limited,16653
White Mareyfley Quarries Limited,White Mareyfley Quarries Limited,16654
Blue Jacket Mining Co.,Blue Jacket Mining Co.,16655
The P Mengel Company,NA,16656
Mangara Exploration Limited,Mangara Exploration Limited,16657
Coniagoits Mines Limited,Coniagoits Mines Limited,16658
Glanmwrwg Colliery Company,Glanmwrwg Colliery Company,16659
Ewesley Quarry Company,Ewesley Quarry Company,16660
F Construction Company,NA,16661
"Columbia Mine, Placer. Lgp","Columbia Mine, Placer. Lgp",16662
Appomattox Plantations,NA,16663
The Hampshire County,NA,16664
The Hartley Institution,NA,16665
Branch Office,NA,16666
Walt Jkhead Lead Mining Company,Walt Jkhead Lead Mining Company,16667
United May Lundy Gold Company,United May Lundy Gold Company,16668
South African Gold Extraction Syndicate,South African Gold Extraction Syndicate,16669
Manager Jf Mcelwain Company,NA,16670
Kwahu Cate Mite,Kwahu Cate Mite,16671
Anglo Batavian Company,Anglo Batavian Company,16672
Humphreys Oil Co,NA,16673
Anqlovpctrtu Lli Rtes Its,Anqlovpctrtu Lli Rtes Its,16674
"Black Metal Mines, Inc.","Black Metal Mines, Inc.",16675
Monmouth Mining & Leasing Co,Monmouth Mining & Leasing Co,16676
Yellow Mountain Mines Company,Yellow Mountain Mines Company,16677
Clairton Pa Chemist Carnegie Steel Co,NA,16678
Weardale Lead Co.,Weardale Lead Co.,16679
Blue Flag Gold Mining Company,Blue Flag Gold Mining Company,16680
Blue Flag Gold Mining Co,Blue Flag Gold Mining Co,16681
Troy-Manhattan Development Company,Troy-Manhattan Development Company,16682
Randfontein Estates Trust Limited,Randfontein Estates Trust Limited,16683
Pennsylvania Mining Co,Pennsylvania Mining Co,16684
Lstmni Copper Mining,Lstmni Copper Mining,16685
Van Mines Limited,Van Mines Limited,16686
"Mexican Mines Corporation, Baca. B2.","Mexican Mines Corporation, Baca. B2.",16687
Gloria Copper Mines Spain Limited,Gloria Copper Mines Spain Limited,16688
New Jersey Mines Co.,New Jersey Mines Co.,16689
Ernst Alaska Dredging Co.,Ernst Alaska Dredging Co.,16690
Minn Engineering Department Oliver Iron Mining Co,NA,16691
Farnam Brothers Co,NA,16692
American Engineering And Operating Co,NA,16693
Alvarado Mining And Milling Co,NA,16694
Sinclair Exploration Co,NA,16695
Errick & Co.,Errick & Co.,16696
Massey Station Mining Company,Massey Station Mining Company,16697
Andy Fitz Mining & Milling Co.,Andy Fitz Mining & Milling Co.,16698
Gold Tunnel & Railway Co,Gold Tunnel & Railway Co,16699
International Colliery Company,International Colliery Company,16700
Arizona Consolidated Mining Company,Arizona Consolidated Mining Company,16701
Mississippi Valley Iron Co.,Mississippi Valley Iron Co.,16702
Associate Gen Communication Company,NA,16703
Mammoth Gold Mining Co.,Mammoth Gold Mining Co.,16704
Neocene Placer Mining Co.,Neocene Placer Mining Co.,16705
Arizona European Mining Co.,Arizona European Mining Co.,16706
San Andreas De La Sierra Mining Co,San Andreas De La Sierra Mining Co,16707
Mon. Yakima Exploration Co,Mon. Yakima Exploration Co,16708
Yakima Exploration Co.,Yakima Exploration Co.,16709
United German Copper Mines Limited,United German Copper Mines Limited,16710
Veta Grande Mining Co.,Veta Grande Mining Co.,16711
Minas Carboniferas De Rio Escondido,Minas Carboniferas De Rio Escondido,16712
Mineralogie,NA,16713
E. Esparza & Co,E. Esparza & Co,16714
Espino Mining Co.,Espino Mining Co.,16715
Magdalena Mining Co.,Magdalena Mining Co.,16716
Court Tuttle Construction Company,NA,16717
Negociacion Minera El Alacran Y,Negociacion Minera El Alacran Y,16718
Atmospheric Nitrogen Company,NA,16719
Field Dravo Corp,NA,16720
Sales Manager Aerofin Corp,NA,16721
"Kept Woman Mine, Pinos Altos.","Kept Woman Mine, Pinos Altos.",16722
Alexander Esquer & Co,Alexander Esquer & Co,16723
Proprietor Essick Machine Company,NA,16724
Oobegtjm Gold Mining,Oobegtjm Gold Mining,16725
Teacher,NA,16726
Wheelock Harris Sterens Inc,NA,16727
Boston & Idaho Gold Dredging Co.,Boston & Idaho Gold Dredging Co.,16728
Estabrook Gold Dredging Co.,Estabrook Gold Dredging Co.,16729
Yreka Gold Dredging Company,Yreka Gold Dredging Company,16730
